                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82788,                0.62648,                 1.0655,                0.67385,                0.80491,                0.80526,                0.74094,                0.60043,                0.37604,                0.90047,             0.00023334,             0.00023334,             0.00023334
                     37,                0.81854,                0.61467,                 1.0619,                0.69932,                0.80321,                0.78066,                0.70339,                0.60845,                0.37471,                0.89466,              0.0002192,              0.0002192,              0.0002192
                     38,                0.81325,                 0.6128,                 1.0601,                 0.9106,                0.77766,                0.84503,                0.77971,                0.59695,                0.36878,                0.89315,             0.00020506,             0.00020506,             0.00020506
                     39,                0.80987,                0.60134,                 1.0557,                0.88557,                0.77633,                0.84078,                0.77811,                0.60304,                0.37286,                0.89322,             0.00019092,             0.00019092,             0.00019092
                     40,                0.80386,                0.59462,                  1.054,                0.96661,                0.75925,                0.83612,                0.76145,                 0.5825,                0.36468,                0.89456,             0.00017679,             0.00017679,             0.00017679
                     41,                0.77014,                0.50161,                 1.0241,                0.87385,                0.76624,                 0.8281,                0.76785,                0.59235,                0.37414,                0.89285,             0.00016265,             0.00016265,             0.00016265
                     42,                0.74984,                0.48561,                  1.017,                0.89439,                0.79405,                0.82011,                0.75926,                0.59659,                0.36203,                 0.8927,             0.00014851,             0.00014851,             0.00014851
                     43,                0.73749,                0.47195,                 1.0113,                0.72252,                0.84281,                 0.8612,                 0.7958,                0.57939,                 0.3579,                0.89118,             0.00013437,             0.00013437,             0.00013437
                     44,                0.73037,                0.46373,                 1.0056,                0.87544,                0.78334,                0.83308,                0.77462,                0.56736,                0.35552,                0.88364,             0.00012024,             0.00012024,             0.00012024
                     45,                0.72542,                0.45855,                 1.0025,                0.89595,                0.77444,                0.82533,                0.76098,                0.56972,                0.35757,                0.88939,              0.0001061,              0.0001061,              0.0001061
                     46,                 0.7233,                0.45054,                 1.0024,                0.95514,                0.72112,                 0.8519,                0.78996,                0.56171,                0.35079,                0.88441,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.71295,                0.44552,                0.99108,                0.87773,                0.78793,                0.82076,                0.76386,                0.55243,                0.35016,                 0.8815,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.71166,                0.43917,                 0.9963,                0.85054,                0.67714,                0.82363,                0.76594,                0.55793,                0.35425,                0.88449,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.70229,                0.43345,                0.98952,                0.94425,                0.66373,                0.72029,                 0.6594,                0.55664,                0.35084,                0.88413,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.69672,                 0.4279,                0.98869,                0.94872,                0.67372,                0.74617,                0.68885,                0.55395,                0.34742,                0.88292,             3.5414e-05,             3.5414e-05,             3.5414e-05
